key,size,md5,url
Datasheet for Dataset of 3D Garments with Sewing Patterns v1..pdf,157770,b4f6e93551fca8a70bfaec5e8f2f3860,https://zenodo.org/api/records/5267549/files/Datasheet%20for%20Dataset%20of%203D%20Garments%20with%20Sewing%20Patterns%20v1..pdf/content
pants_straight_sides_1000.zip,2119063448,2b4abc2451e66eb3904d1db8487a8330,https://zenodo.org/api/records/5267549/files/pants_straight_sides_1000.zip/content
skirt_2_panels_1200.zip,3012737719,838218429001e7b1e9f1434faa3289d0,https://zenodo.org/api/records/5267549/files/skirt_2_panels_1200.zip/content
skirt_8_panels_1000.zip,3098514108,b173a382ef8f31e048893f81795c8f9a,https://zenodo.org/api/records/5267549/files/skirt_8_panels_1000.zip/content
skirt_4_panels_1600.zip,3794363090,569c53caec21cf7ea9ea224a0f3ee3d7,https://zenodo.org/api/records/5267549/files/skirt_4_panels_1600.zip/content
test.zip,4006539672,74e85232fee02d74462a514eb1c76a2c,https://zenodo.org/api/records/5267549/files/test.zip/content
wb_pants_straight_1500.zip,5412596476,bf4105bac9ab6e0b2857d4bad49e7476,https://zenodo.org/api/records/5267549/files/wb_pants_straight_1500.zip/content
jumpsuit_sleeveless_2000.zip,5441568710,e973f13ea6d5d568c0c652b1a8883adc,https://zenodo.org/api/records/5267549/files/jumpsuit_sleeveless_2000.zip/content
tee_sleeveless_1800.zip,6739854254,c68993777df391d86606a3bbfbf7257a,https://zenodo.org/api/records/5267549/files/tee_sleeveless_1800.zip/content
dress_sleeveless_2550.zip,7428764683,bb0db4908fcfa39bad92c926171e2c0f,https://zenodo.org/api/records/5267549/files/dress_sleeveless_2550.zip/content
tee_2300.zip,9131943874,13d67a3dd785ce8a53ef89a87a6d62af,https://zenodo.org/api/records/5267549/files/tee_2300.zip/content
jacket_2200.zip,9896379061,3a4349e8287082e744c715b60318587c,https://zenodo.org/api/records/5267549/files/jacket_2200.zip/content
wb_dress_sleeveless_2600.zip,11942936501,baef116f5a50bdeff4c61be1bbcaa91c,https://zenodo.org/api/records/5267549/files/wb_dress_sleeveless_2600.zip/content
jacket_hood_2700.zip,12743075939,2d0c4708a3e8283c53c98bb2d21d9ca1,https://zenodo.org/api/records/5267549/files/jacket_hood_2700.zip/content
