feature_set,true_category,pred_category,count
segmentation,dress_sleeveless_2550,dress_sleeveless_2550,304
segmentation,dress_sleeveless_2550,skirt_4_panels_1600,79
segmentation,jacket_2200,jacket_2200,330
segmentation,jacket_hood_2700,jacket_hood_2700,398
segmentation,jacket_hood_2700,skirt_8_panels_1000,7
segmentation,jumpsuit_sleeveless_2000,jumpsuit_sleeveless_2000,300
segmentation,pants_straight_sides_1000,pants_straight_sides_1000,150
segmentation,skirt_2_panels_1200,skirt_2_panels_1200,143
segmentation,skirt_2_panels_1200,tee_sleeveless_1800,37
segmentation,skirt_4_panels_1600,dress_sleeveless_2550,73
segmentation,skirt_4_panels_1600,pants_straight_sides_1000,1
segmentation,skirt_4_panels_1600,skirt_4_panels_1600,166
segmentation,skirt_8_panels_1000,jacket_hood_2700,10
segmentation,skirt_8_panels_1000,skirt_8_panels_1000,140
segmentation,tee_2300,tee_2300,291
segmentation,tee_2300,wb_dress_sleeveless_2600,53
segmentation,tee_2300,wb_pants_straight_1500,1
segmentation,tee_sleeveless_1800,skirt_2_panels_1200,53
segmentation,tee_sleeveless_1800,tee_sleeveless_1800,217
segmentation,wb_dress_sleeveless_2600,tee_2300,56
segmentation,wb_dress_sleeveless_2600,wb_dress_sleeveless_2600,321
segmentation,wb_dress_sleeveless_2600,wb_pants_straight_1500,13
segmentation,wb_pants_straight_1500,tee_2300,1
segmentation,wb_pants_straight_1500,wb_dress_sleeveless_2600,16
segmentation,wb_pants_straight_1500,wb_pants_straight_1500,208
