baseline,features,test_samples,top1,top5,mrr,panel_mae,stitch_mae
random_category,0,3368,0.08135391923990498,0.4166666666666667,0.0,0.0,0.0
majority_category,0,3368,0.12024940617577197,0.5501781472684085,0.0,0.0,0.0
nn_pattern,9,3368,1.0,1.0,1.0,0.0,0.0
nn_mesh,14,3368,0.7731591448931117,0.9542755344418052,0.850425363557567,0.6641923990498813,1.4263657957244655
nn_segmentation,8,3368,0.8812351543942993,0.9774346793349169,0.923486794460315,0.005047505938242281,0.10095011876484561
nn_combined,31,3368,0.9997030878859857,0.9997030878859857,0.9997030878859857,0.0008907363420427554,0.0017814726840855108
